Iteration,ADC size,Delegation Time Taken,Delegation Memory Usage,Delegation CPU Usage,Verification Time Taken,Verification Memory Usage,Verification CPU Usage,Retrieval Time Taken,Retrieval Memory Usage,Retrieval CPU Usage
0,719,0.34412508830428123,16,0.00034542400000001083,0.1627500168979168,0,0.000181503999999999,36.386874970048666,0,0.000181503999999999
1,719,0.315292039886117,0,0.00034270399999999923,0.1521660014986992,0,0.00017033599999999316,6.098666926845908,0,0.00017033599999999316
2,719,0.2718751784414053,0,0.00027687999999997936,0.2697499003261328,0,0.0003044160000000018,8.705540793016553,0,0.0003044160000000018
3,719,0.4237079992890358,0,0.00045662400000001657,0.15425006859004498,0,0.00017558399999997865,5.351792089641094,0,0.00017558399999997865
4,719,0.25391695089638233,0,0.0002647040000000045,0.1477501355111599,0,0.00016591999999998608,6.607874995097518,0,0.00016591999999998608
5,719,0.267416937276721,0,0.000285503999999992,0.26062503457069397,0,0.0002920800000000001,6.474541965872049,0,0.0002920800000000001
6,719,0.3860408905893564,0,0.00040734399999997617,0.16037491150200367,0,0.00018104000000002118,6.619124906137586,0,0.00018104000000002118
7,719,0.2609998919069767,0,0.00027929599999998445,0.16495794989168644,0,0.00018563199999999114,7.885749917477369,0,0.00018563199999999114
8,719,0.3212501760572195,0,0.00035523200000003863,0.25104195810854435,0,0.00028025599999997874,6.035958882421255,0,0.00028025599999997874
9,719,0.4276251420378685,0,0.00045830399999996496,0.16399985179305077,0,0.0001844800000000424,4.585957853123546,0,0.0001844800000000424
10,719,0.2512920182198286,0,0.0002679039999999855,0.1764169428497553,0,0.00017632000000000758,5.615084199234843,0,0.00017632000000000758
11,719,0.3125830553472042,0,0.00033055999999997976,0.14649983495473862,0,0.0001648639999999868,6.711957976222038,0,0.0001648639999999868
12,719,0.2591668162494898,0,0.00027615999999996976,0.1532081514596939,0,0.00017321599999997606,5.534125026315451,0,0.00017321599999997606
13,719,0.32650004141032696,0,0.00032275200000003723,0.22112508304417133,0,0.00025273600000003116,6.3043751288205385,0,0.00025273600000003116
14,719,0.25608320720493793,0,0.0002729600000000443,0.1489589922130108,0,0.00016844799999998772,5.080833099782467,0,0.00016844799999998772
15,719,0.2604578621685505,0,0.00026665599999997625,0.1477920450270176,0,0.00016595200000002475,5.859249969944358,0,0.00016595200000002475
16,719,0.2749999985098839,0,0.0002935679999999663,0.16104080714285374,0,0.00018032000000001158,5.476374877616763,0,0.00018032000000001158
17,719,0.2537919208407402,0,0.0002730879999999769,0.1680420245975256,0,0.00018889600000004947,5.0209579057991505,0,0.00018889600000004947
18,719,0.2882499247789383,0,0.0003097280000000091,0.169374980032444,0,0.00019132799999999062,5.26545918546617,0,0.00019132799999999062
19,719,0.25912513956427574,0,0.00027897599999998635,0.15074992552399635,0,0.00016985600000002377,5.905749974772334,0,0.00016985600000002377
20,719,0.3559999167919159,0,0.00037894399999993666,0.23108418099582195,0,0.00028841599999995804,5.598457995802164,0,0.00028841599999995804
21,719,0.2821250818669796,0,0.00030243200000001913,0.16487506218254566,0,0.00016371199999998254,5.035958020016551,0,0.00016371199999998254
22,719,0.25345804169774055,0,0.00026976000000000777,0.1498749479651451,0,0.00016819199999995593,5.178583785891533,0,0.00016819199999995593
23,719,0.26558409444987774,0,0.000281407999999983,0.15308288857340813,0,0.0001715200000000916,5.226416978985071,0,0.0001715200000000916
24,719,0.27754204347729683,0,0.00029689600000004646,0.18116692081093788,0,0.0002036479999999452,5.089916056022048,0,0.0002036479999999452
25,719,0.3373750951141119,0,0.0003589119999999335,0.202166847884655,0,0.00023859199999998193,5.228959023952484,0,0.00023859199999998193
26,719,0.2709999680519104,0,0.0002887040000000285,0.22791698575019836,0,0.00025567999999998037,5.825500003993511,0,0.00025567999999998037
27,719,0.2742090728133917,0,0.0002924800000000394,0.16170809976756573,0,0.00018169599999995345,5.8454161044210196,0,0.00018169599999995345
28,719,0.2828750293701887,0,0.00030233599999995864,0.1516249030828476,0,0.00016947199999994833,6.787457969039679,0,0.00016947199999994833
29,719,0.2727089449763298,0,0.0002919040000000095,0.16199983656406403,0,0.00017907200000000234,6.2154580373317,0,0.00017907200000000234
30,719,0.26154122315347195,0,0.0002795519999999607,0.16604200936853886,0,0.00018015999999998478,6.157458992674947,0,0.00018015999999998478
31,719,0.2751669380813837,0,0.0002922880000000294,0.15837512910366058,0,0.00017715200000001374,6.032374920323491,0,0.00017715200000001374
32,719,0.26750005781650543,0,0.00028569600000005746,0.148500083014369,0,0.00016735999999994977,6.176458904519677,0,0.00016735999999994977
33,719,0.276458915323019,0,0.0002968319999999691,0.1553341280668974,0,0.00017548800000000142,4.761249991133809,0,0.00017548800000000142
34,719,0.2573339734226465,0,0.0002745600000000348,0.14479202218353748,0,0.0001625600000000338,5.221750121563673,0,0.0001625600000000338
35,719,0.27145794592797756,0,0.00028921599999998104,0.14758389443159103,0,0.00016620800000000102,5.072542000561953,0,0.00016620800000000102
