Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
18,814901.6999999881,815418.8999999762,517.1999999880791,815420.7999999523,823807.6999999881,8386.900000035763,8904.100000023842
19,823807.6999999881,824423.3999999762,615.6999999880791,824424.8999999762,832929.0999999642,8504.199999988079,9119.899999976158
20,832929.0999999642,833454.1999999881,525.1000000238419,833456,839783.1999999881,6327.199999988079,6852.300000011921
21,839783.1999999881,840353.5999999642,570.3999999761581,840355.0999999642,848905.8999999762,8550.800000011921,9121.199999988079
22,848905.8999999762,849440.0999999642,534.1999999880791,849442.5,854365.1999999881,4922.699999988079,5456.899999976158
23,854365.1999999881,854883.1999999881,518,854888.0999999642,858567.0999999642,3679,4197
24,858567.0999999642,859137.7999999523,570.6999999880791,859140.6999999881,863170.7999999523,4030.099999964237,4600.799999952316
25,863170.7999999523,863691.3999999762,520.6000000238419,863695.7999999523,868255.3999999762,4559.600000023842,5080.200000047684
26,868255.3999999762,868867.7999999523,612.3999999761581,868872,873264.5,4392.5,5004.899999976158
27,873264.5,873772.6999999881,508.19999998807907,873776.1999999881,878208.2999999523,4432.099999964237,4940.299999952316
28,878208.2999999523,878801.5999999642,593.3000000119209,878805.7999999523,883131.2999999523,4325.5,4918.800000011921
29,883131.2999999523,883718.2999999523,587,883722.3999999762,888706.3999999762,4984,5571
30,888706.5,889371.7999999523,665.2999999523163,889376.0999999642,893745.7999999523,4369.699999988079,5034.999999940395
31,893745.7999999523,894359.2999999523,613.5,894360.8999999762,898105.5,3744.600000023842,4358.100000023842
32,898105.5,898722.5999999642,617.0999999642372,898727,902740.0999999642,4013.099999964237,4630.199999928474
33,902740.0999999642,903305.8999999762,565.8000000119209,903309.5999999642,907217.3999999762,3907.800000011921,4473.600000023842
34,907217.3999999762,907736.6999999881,519.3000000119209,907741,911298,3557,4076.300000011921
35,911298.0999999642,911807.5999999642,509.5,911811.7999999523,915757.6999999881,3945.900000035763,4455.400000035763
36,915757.7999999523,916273.7999999523,516,916276.7999999523,919857.2999999523,3580.5,4096.5
37,919857.2999999523,920395.3999999762,538.1000000238419,920399.2999999523,924577.8999999762,4178.600000023842,4716.700000047684
38,924577.8999999762,925128.5999999642,550.6999999880791,925132.8999999762,928801.2999999523,3668.399999976158,4219.099999964237
39,928801.3999999762,929309.2999999523,507.89999997615814,929311.0999999642,933348.6999999881,4037.600000023842,4545.5
40,933348.6999999881,933877,528.3000000119209,933881.5999999642,938213,4331.400000035763,4859.700000047684
41,938213,938809,596,938813,942779.5,3966.5,4562.5
42,942779.5,943305.7999999523,526.2999999523163,943309.2999999523,947298.3999999762,3989.100000023842,4515.399999976158
43,947298.3999999762,947817.8999999762,519.5,947820.7999999523,951843.5,4022.7000000476837,4542.200000047684
44,951843.5,952369,525.5,952371.3999999762,955912.5,3541.100000023842,4066.600000023842
45,955912.5,956482.7999999523,570.2999999523163,956486.2999999523,960020.1999999881,3533.900000035763,4104.199999988079
46,960020.1999999881,960533.6999999881,513.5,960535.6999999881,964597.1999999881,4061.5,4575
47,964597.1999999881,965118.5999999642,521.3999999761581,965122.0999999642,968704.0999999642,3582,4103.399999976158
48,968704.0999999642,969320.0999999642,616,969321.5999999642,973372,4050.400000035763,4666.400000035763
49,973372.0999999642,973890.2999999523,518.1999999880791,973896.6999999881,978074.1999999881,4177.5,4695.699999988079
50,978074.1999999881,978622.3999999762,548.1999999880791,978626,982873,4247,4795.199999988079
51,982873,983396.1999999881,523.1999999880791,983400.5999999642,987421.8999999762,4021.300000011921,4544.5
52,987421.8999999762,987928.0999999642,506.19999998807907,987929.7999999523,991949,4019.2000000476837,4525.400000035763
53,991949,992468.2999999523,519.2999999523163,992471.8999999762,996060.6999999881,3588.800000011921,4108.099999964237
54,996060.6999999881,996658.8999999762,598.1999999880791,996661.8999999762,1000403.7999999523,3741.899999976158,4340.099999964237
55,1000403.7999999523,1000921.3999999762,517.6000000238419,1000925.1999999881,1005549,4623.800000011921,5141.400000035763
56,1005549,1006081.0999999642,532.0999999642372,1006084.6999999881,1010026,3941.300000011921,4473.399999976158
57,1010026,1010549.0999999642,523.0999999642372,1010552.6999999881,1014988.5999999642,4435.899999976158,4958.999999940395
58,1014988.5999999642,1015522.0999999642,533.5,1015525.7999999523,1020416.2999999523,4890.5,5424
59,1020416.2999999523,1021135.0999999642,718.8000000119209,1021138.7999999523,1026556.1999999881,5417.400000035763,6136.200000047684
60,1026556.1999999881,1027175.5,619.3000000119209,1027178.8999999762,1031269.8999999762,4091,4710.300000011921
61,1031269.8999999762,1031892.5,622.6000000238419,1031896.6999999881,1035962,4065.300000011921,4687.900000035763
62,1035962,1036597.1999999881,635.1999999880791,1036600.7999999523,1040618.5999999642,4017.800000011921,4653
63,1040618.5999999642,1041128.8999999762,510.30000001192093,1041132.0999999642,1045110.1999999881,3978.100000023842,4488.400000035763
64,1045110.1999999881,1045622.6999999881,512.5,1045624,1050442.199999988,4818.199999988079,5330.699999988079
65,1050442.199999988,1050961,518.8000000119209,1050963.5999999642,1055391.2999999523,4427.699999988079,4946.5
66,1055391.2999999523,1055914.3999999762,523.1000000238419,1055918.3999999762,1060286.5,4368.100000023842,4891.200000047684
67,1060286.5,1060814.8999999762,528.3999999761581,1060818.5999999642,1065363.3999999762,4544.800000011921,5073.199999988079
68,1065363.3999999762,1065880.5,517.1000000238419,1065886.0999999642,1070137.0999999642,4251,4768.100000023842
69,1070137.199999988,1070649.2999999523,512.0999999642372,1070651.8999999762,1075303.5999999642,4651.699999988079,5163.799999952316
