Iteration,ADC size,Delegation Time Taken,Delegation Memory Usage,Delegation CPU Usage,Verification Time Taken,Verification Memory Usage,Verification CPU Usage,Retrieval Time Taken,Retrieval Memory Usage,Retrieval CPU Usage
0,807,0.4776660352945328,80,0.0003755519999999457,0.18670898862183094,80,0.00019123199999970808,10.120959021151066,80,0.00019123199999970808
1,808,0.27008308097720146,0,0.0002867199999996295,0.13191718608140945,0,0.00014924800000004623,5.957458866760135,0,0.00014924800000004623
2,806,0.27033290825784206,0,0.0002890240000001931,0.15125004574656487,0,0.0001712640000000043,5.449207965284586,0,0.0001712640000000043
3,806,0.24820794351398945,0,0.000265215999999846,0.14766701497137547,0,0.0001702399999996551,6.890958175063133,0,0.0001702399999996551
4,806,0.3424999304115772,0,0.0003537919999998529,0.1432918943464756,0,0.00016204799999997022,5.64812496304512,0,0.00016204799999997022
5,808,0.2863339614123106,0,0.0002961919999999729,0.15816697850823402,0,0.0001804800000000384,4.587874980643392,0,0.0001804800000000384
6,806,0.24595786817371845,0,0.0002626559999998612,0.13695890083909035,0,0.00015513600000005567,5.65866706892848,0,0.00015513600000005567
7,807,0.29791705310344696,0,0.0003110400000001512,0.15366706065833569,0,0.00017407999999985435,7.367833983153105,0,0.00017407999999985435
8,808,0.24504191242158413,0,0.0002603519999997417,0.1326659694314003,0,0.00014950399999991149,5.357917165383697,0,0.00014950399999991149
9,807,0.24287519045174122,0,0.0002580480000000662,0.1432080753147602,0,0.00016230399999983547,5.26012503542006,0,0.00016230399999983547
10,807,0.2466249279677868,0,0.0002626559999998612,0.147499842569232,0,0.00016640000000034405,5.173624958842993,0,0.00016640000000034405
11,808,0.2547500189393759,0,0.0002677759999998308,0.14908285811543465,0,0.00016844799999926607,5.176499951630831,0,0.00016844799999926607
12,806,0.2382081001996994,0,0.0002542079999994229,0.13512489385902882,0,0.0001525759999996268,5.269207991659641,0,0.0001525759999996268
13,807,0.24391710758209229,0,0.00025855999999979673,0.13466598466038704,0,0.00015180800000003103,8.229499915614724,0,0.00015180800000003103
14,808,0.2592080272734165,0,0.00026393600000051975,0.14299992471933365,0,0.0001610240000005092,5.381459137424827,0,0.0001610240000005092
15,807,0.2730409614741802,0,0.0002882560000001533,0.1382920891046524,0,0.00015641600000027012,6.1433331575244665,0,0.00015641600000027012
16,806,0.24720910005271435,0,0.00026342399999990107,0.13829092495143414,0,0.00015616000000040486,5.197040969505906,0,0.00015616000000040486
17,806,0.3000418655574322,0,0.00031692800000016064,0.14787493273615837,0,0.00016793599999953557,5.344917066395283,0,0.00016793599999953557
18,807,0.2702500205487013,0,0.00028492800000012863,0.13779103755950928,0,0.00015513600000005567,4.996208939701319,0,0.00015513600000005567
19,806,0.2969170454889536,0,0.000314623999999597,0.14258292503654957,0,0.00016153599999935153,6.454334128648043,0,0.00016153599999935153
20,808,0.27491594664752483,0,0.0002785279999999446,0.14258385635912418,0,0.00016128000000037446,4.935834091156721,0,0.00016128000000037446
