Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
0,17125.69999998808,17219.19999998808,93.5,17307.600000023842,17399.100000023842,91.5,185
1,17400.100000023842,17493.5,93.39999997615814,17579.900000035763,17666.5,86.59999996423721,179.99999994039536
2,17666.600000023842,17924.80000001192,258.19999998807907,18152.80000001192,18378.400000035763,225.60000002384186,483.80000001192093
3,18381.30000001192,18575.5,194.19999998807907,19061.30000001192,19157.30000001192,96,290.19999998807907
4,19157.80000001192,19253.400000035763,95.60000002384186,19345.5,19447,101.5,197.10000002384186
5,19447,19538.19999998808,91.19999998807907,19625.600000023842,19714.900000035763,89.30000001192093,180.5
6,19715,19810.100000023842,95.10000002384186,19897.69999998808,19989.19999998808,91.5,186.60000002384186
7,19989.19999998808,20082.80000001192,93.60000002384186,20166.80000001192,20261,94.19999998807907,187.80000001192093
8,20261.100000023842,20355.400000035763,94.30000001192093,20449.69999998808,20617.69999998808,168,262.30000001192093
9,20617.69999998808,20724.600000023842,106.90000003576279,20807.80000001192,20905.600000023842,97.80000001192093,204.70000004768372
10,20905.69999998808,20995.69999998808,90,21151.30000001192,21258.5,107.19999998807907,197.19999998807907
11,21258.5,21365.400000035763,106.90000003576279,21464,21562.80000001192,98.80000001192093,205.70000004768372
12,21562.80000001192,21662.5,99.69999998807907,21753.80000001192,21840.900000035763,87.10000002384186,186.80000001192093
13,21841,21940.80000001192,99.80000001192093,22039.100000023842,22155.400000035763,116.30000001192093,216.10000002384186
14,22155.400000035763,22361.100000023842,205.69999998807907,22464.19999998808,22565.400000035763,101.20000004768372,306.9000000357628
15,22565.600000023842,22669.69999998808,104.09999996423721,22773.80000001192,22884.69999998808,110.89999997615814,214.99999994039536
16,22884.900000035763,22988.600000023842,103.69999998807907,23355.100000023842,23616.400000035763,261.30000001192093,365
17,23616.69999998808,24166.30000001192,549.6000000238419,24646.19999998808,24955.19999998808,309,858.6000000238419
18,24955.5,25240.80000001192,285.30000001192093,25683.100000023842,25893.600000023842,210.5,495.80000001192093
19,25893.900000035763,26081,187.0999999642372,26357.69999998808,26510.5,152.80000001192093,339.89999997615814
20,26510.600000023842,26635,124.39999997615814,26741.5,26844,102.5,226.89999997615814
21,26844,27034.400000035763,190.4000000357628,27313.5,27583.30000001192,269.80000001192093,460.2000000476837
22,27584,27933.900000035763,349.9000000357628,28174,28446.400000035763,272.4000000357628,622.3000000715256
23,28447,28693.19999998808,246.19999998807907,29042.900000035763,29405.30000001192,362.39999997615814,608.5999999642372
24,29407.100000023842,29579.69999998808,172.5999999642372,29808,29915,107,279.5999999642372
25,29915.100000023842,30021.30000001192,106.19999998807907,30124.30000001192,30232.30000001192,108,214.19999998807907
26,30232.400000035763,30727.80000001192,495.39999997615814,31143.80000001192,31476,332.19999998807907,827.5999999642372
27,31476.400000035763,31691.69999998808,215.29999995231628,32049.600000023842,32432.100000023842,382.5,597.7999999523163
28,32435.69999998808,32749.69999998808,314,33065.40000003576,33378.19999998808,312.7999999523163,626.7999999523163
29,33380.10000002384,33803.60000002384,423.5,34094.5,34676.90000003576,582.4000000357628,1005.9000000357628
30,34677.80000001192,35215,537.1999999880791,35545.5,35882,336.5,873.6999999880791
31,35883.69999998808,36437.69999998808,554,36692.90000003576,37038,345.0999999642372,899.0999999642372
32,37038.40000003576,37501.10000002384,462.69999998807907,37834,38063.40000003576,229.4000000357628,692.1000000238419
33,38063.90000003576,38581.80000001192,517.8999999761581,38833.5,39064.90000003576,231.4000000357628,749.3000000119209
34,39067.80000001192,39301,233.19999998807907,39726.90000003576,40173,446.0999999642372,679.2999999523163
35,40173.69999998808,40531.60000002384,357.9000000357628,40802.19999998808,41052.10000002384,249.9000000357628,607.8000000715256
36,41052.80000001192,41352.80000001192,300,41606.80000001192,42005.30000001192,398.5,698.5
37,42008.90000003576,42297.90000003576,289,42802.90000003576,43089.69999998808,286.7999999523163,575.7999999523163
38,43090.19999998808,43447.80000001192,357.60000002384186,43662,43921.30000001192,259.30000001192093,616.9000000357628
39,43922.80000001192,44484.90000003576,562.1000000238419,44698.69999998808,45048.60000002384,349.9000000357628,912.0000000596046
40,45051.10000002384,45614.80000001192,563.6999999880791,45828.40000003576,46141.90000003576,313.5,877.1999999880791
41,46145.40000003576,46511.30000001192,365.89999997615814,46909.19999998808,47245,335.80000001192093,701.6999999880791
42,47245.80000001192,47547.80000001192,302,47808.30000001192,48090.80000001192,282.5,584.5
43,48091.80000001192,48486.30000001192,394.5,48649.30000001192,48917.60000002384,268.30000001192093,662.8000000119209
44,48919.5,49196.69999998808,277.19999998807907,49499.5,49723,223.5,500.69999998807907
45,49723.60000002384,49997.80000001192,274.19999998807907,50102.90000003576,50203.10000002384,100.19999998807907,374.39999997615814
46,50203.19999998808,50285.80000001192,82.60000002384186,50364.10000002384,50446.60000002384,82.5,165.10000002384186
47,50446.69999998808,50529.40000003576,82.70000004768372,50606.40000003576,50690.19999998808,83.79999995231628,166.5
48,50690.30000001192,50787.19999998808,96.89999997615814,50863.69999998808,50948,84.30000001192093,181.19999998807907
49,50948.10000002384,51032.40000003576,84.30000001192093,51127.60000002384,51211.19999998808,83.59999996423721,167.89999997615814
50,51211.30000001192,51340,128.69999998807907,51420.40000003576,51503.80000001192,83.39999997615814,212.0999999642372
51,51503.90000003576,51587.40000003576,83.5,51663.30000001192,51747.19999998808,83.89999997615814,167.39999997615814
52,51747.19999998808,51831.30000001192,84.10000002384186,51905.69999998808,51988.90000003576,83.20000004768372,167.30000007152557
