Iteration,ADC size,Delegation Time Taken,Delegation Memory Usage,Delegation CPU Usage,Verification Time Taken,Verification Memory Usage,Verification CPU Usage,Retrieval Time Taken,Retrieval Memory Usage,Retrieval CPU Usage
0,822,1.0611249599605799,272,0.0008683520000001277,0.4235408268868923,16,0.00039283200000017615,21.666457876563072,16,0.00039283200000017615
1,823,0.6180841010063887,0,0.0006392320000001561,0.6392081268131733,96,0.0006539519999999577,9.702333016321063,96,0.0006539519999999577
2,822,0.6275419145822525,0,0.000642816000000046,0.28204196132719517,0,0.00029913599999997764,6.088583031669259,0,0.00029913599999997764
3,822,0.6296660285443068,0,0.0006522879999999454,0.27670804411172867,0,0.00029401600000000805,6.0514158103615046,0,0.00029401600000000805
4,822,0.6634579040110111,0,0.0006323200000000195,0.2893330529332161,16,0.0003029760000001769,5.704582901671529,16,0.0003029760000001769
5,823,0.5337079055607319,0,0.0005473280000001246,0.294666038826108,0,0.00031372799999962453,5.406874930486083,0,0.00031372799999962453
6,822,0.6195830646902323,0,0.0006383359999997396,0.3024579491466284,0,0.00032217600000006286,6.707916967570782,0,0.00032217600000006286
7,822,0.6547500379383564,0,0.0006664960000000164,0.28354115784168243,0,0.0003016960000001845,5.13250008225441,0,0.0003016960000001845
8,823,0.6582089699804783,0,0.0006554880000000374,0.27766707353293896,0,0.0002960639999995962,5.334833869710565,0,0.0002960639999995962
9,823,0.6199169438332319,0,0.0006391040000002235,0.28891698457300663,0,0.00030771200000012655,5.195375066250563,0,0.00030771200000012655
10,821,0.8092080242931843,0,0.0008257280000001366,0.2764579840004444,0,0.000294015999999786,5.282375030219555,0,0.000294015999999786
11,822,0.6350830662995577,0,0.0006551040000002395,0.29274984262883663,0,0.00031270399999971943,5.511124851182103,0,0.00031270399999971943
12,823,0.642749946564436,0,0.0006401279999996845,0.2827090211212635,0,0.0003016960000001845,5.607791943475604,0,0.0003016960000001845
13,821,0.571833923459053,0,0.0005881599999999487,0.275749946013093,0,0.0002936319999999881,5.9119160287082195,0,0.0002936319999999881
14,823,0.7343750912696123,0,0.0007623679999997357,0.28029107488691807,0,0.0002982399999997831,4.8936668317765,0,0.0002982399999997831
15,821,0.6555828731507063,0,0.0006681600000000287,0.2995000686496496,0,0.00031897599999997084,5.121834110468626,0,0.00031897599999997084
16,821,0.6350411567837,0,0.0006525440000002547,0.28695794753730297,0,0.00030463999999996716,5.225040949881077,0,0.00030463999999996716
17,823,0.5802921950817108,0,0.0005903359999996916,0.28716702945530415,0,0.00030515200000014175,4.998000105842948,0,0.00030515200000014175
18,823,0.5845001433044672,0,0.0005992959999998604,0.30629197135567665,0,0.000331007999999855,5.667250137776136,0,0.000331007999999855
19,822,0.6407918408513069,0,0.0006548480000003742,0.7995420601218939,0,0.0005414399999996711,6.368291098624468,0,0.0005414399999996711
20,823,0.7233750075101852,0,0.0007024639999997362,0.7254160009324551,0,0.0007669759999999748,33.568124985322356,0,0.0007669759999999748
21,822,0.9806249290704727,0,0.0009264639999999602,0.3310409374535084,0,0.00034739200000011294,15.146417077630758,0,0.00034739200000011294
22,822,0.7512080483138561,0,0.0007211520000001137,0.28583407402038574,16,0.00029900799999982297,6.608749972656369,16,0.00029900799999982297
23,822,0.6057091522961855,0,0.000621823999999993,0.31016720458865166,0,0.0003338240000001491,5.775291007012129,0,0.0003338240000001491
24,823,0.5661249160766602,0,0.0005818879999996973,0.2857500221580267,0,0.000310015999999802,5.027625011280179,0,0.000310015999999802
25,821,0.5738330073654652,0,0.0005890559999999212,0.2937088720500469,0,0.0003089919999998969,5.465749884024262,0,0.0003089919999998969
26,821,0.585583969950676,0,0.0005982719999999553,0.29850006103515625,0,0.0003187200000001056,6.244667107239366,0,0.0003187200000001056
27,821,0.5981249269098043,0,0.0006151679999999438,0.3065001219511032,0,0.0003261440000001947,5.730833159759641,0,0.0003261440000001947
28,822,0.5611670203506947,0,0.0005765119999998625,0.2805418334901333,0,0.0002992640000001323,4.735499853268266,0,0.0002992640000001323
29,823,0.599374994635582,0,0.0006146560000002133,0.28308387845754623,0,0.000301823999999673,5.812499905005097,0,0.000301823999999673
30,823,0.5892089102417231,0,0.0006056959999996003,0.28754211962223053,0,0.00029696000000001277,6.143833044916391,0,0.00029696000000001277
31,823,0.5888331215828657,0,0.0006021120000001545,0.27912482619285583,0,0.00029696000000001277,4.460958065465093,0,0.00029696000000001277
32,823,0.6873749662190676,0,0.0006627839999997498,0.2906660083681345,0,0.0003110399999997071,5.957375047728419,0,0.0003110399999997071
33,821,0.6715829949826002,0,0.0006909440000000266,0.27579208835959435,0,0.00029337600000012287,5.65949990414083,0,0.00029337600000012287
34,821,0.6759169045835733,0,0.0006525439999998106,0.279333908110857,0,0.00029696000000001277,5.289625143632293,0,0.00029696000000001277
35,822,0.9449589997529984,0,0.0007467519999999617,0.33158413134515285,48,0.0003486720000003274,6.921583088114858,48,0.0003486720000003274
36,823,0.8801249787211418,0,0.0008061440000002307,0.5067498423159122,0,0.000530431999999692,6.093791918829083,0,0.000530431999999692
37,822,0.8622091263532639,0,0.000801023999999817,0.5884161219000816,0,0.00047078400000000187,6.442708196118474,0,0.00047078400000000187
38,821,0.6876250263303518,0,0.000708608000000055,0.6915410049259663,0,0.000732415999999958,8.408166002482176,0,0.000732415999999958
39,821,0.6332090124487877,0,0.0006484480000001902,0.29850006103515625,0,0.000318207999999931,5.8419168926775455,0,0.000318207999999931
40,822,0.6709999870508909,0,0.0006251520000000177,0.29741693288087845,0,0.0003192319999998361,6.366791902109981,0,0.0003192319999998361
