,Iteration,Delegation Time Taken,Delegation Memory Usage,Delegation CPU Usage,Verification Time Taken,Verification Memory Usage,Verification CPU Usage,Retrieval Time Taken,Retrieval Memory Usage,Retrieval CPU Usage
34,34,3.5178750000195578,77.375,0.0,3.05033299990464,78.109375,0.0,2.412542000063695,78.109375,0.0
35,35,3.4204579999204725,78.109375,0.0,2.916291999979876,78.109375,0.0,2.586583999916911,78.109375,0.0
36,36,3.509874999988824,78.125,0.0,2.970291000092402,78.125,0.0,2.2350409999489784,78.125,0.0
37,37,3.463209000066854,78.203125,0.0,2.9861670000245795,78.21875,0.0,1.5714160000206905,78.21875,0.0
38,38,3.457583999959752,78.234375,0.0,3.0484999999171123,78.578125,0.0,2.393999999971129,78.578125,0.0
39,39,3.48395799996797,79.125,0.0,2.9993339999346063,79.1875,0.0,2.392500000074506,79.1875,0.0
40,40,3.416624999954365,79.203125,0.0,2.902416999917478,79.203125,1.0,2.658333999919705,79.203125,1.0
42,42,3.625791000085883,79.421875,0.0,2.9138750000856817,79.421875,0.0,2.56229099992197,79.421875,0.0
43,43,3.516291999956593,79.46875,0.0,3.0475830000359565,80.046875,0.0,1.90258300001733,80.046875,0.0
45,45,3.586792000103742,80.0625,0.0,2.9229579999810085,80.0625,0.0,1.9166659999173137,80.0625,0.0
46,46,3.511166999931447,80.1875,0.0,2.8920420000795275,80.203125,0.0,2.256124999956228,80.203125,0.0
47,47,3.592458999948576,80.203125,0.0,2.8422080000163987,80.203125,0.0,1.5526669999817386,80.203125,0.0
48,48,3.4702500000130385,80.734375,0.0,2.8140000000130385,80.75,0.0,1.7215830000350252,80.75,0.0
50,50,3.437666999991052,80.796875,0.0,2.9111249999841675,80.796875,0.0,1.7815410000039265,80.796875,0.0
51,51,3.524790999945253,80.796875,0.0,2.8876250000903383,80.796875,0.0,1.6862919999985024,80.796875,0.0
53,53,3.4017920000478625,81.328125,0.0,2.8482090000761673,81.328125,0.0,2.419166999985464,81.328125,0.0
54,54,3.3422499999869615,81.328125,0.0,2.909332999959588,81.34375,0.0,2.33504199993331,81.34375,0.0
55,55,3.5130829999689013,81.34375,0.0,2.8706249999813735,81.34375,0.0,2.724917000043206,81.34375,0.0
58,58,3.4700409999350086,81.953125,0.0,2.788459000061266,81.953125,0.0,1.515332999988459,81.953125,0.0
60,60,3.50283299991861,81.828125,0.0,2.928000000072643,81.828125,0.0,2.464750000042841,81.828125,0.0
61,61,3.5367919999407604,81.84375,0.0,2.923415999975987,82.34375,0.0,2.381459000054747,82.34375,0.0
62,62,3.516541999997571,82.359375,0.0,2.839750000042841,82.359375,0.0,2.6357500000158325,82.359375,0.0
64,64,3.4669579999754205,82.375,0.0,2.871583000058308,82.375,0.0,2.4879580000415444,82.375,0.0
66,66,3.487208000035025,82.796875,0.0,2.832374999998138,82.8125,0.0,2.453791999956593,82.8125,0.0
67,67,3.4720830000005662,82.8125,0.0,2.840250000008382,82.8125,0.0,2.2890000001061708,82.8125,0.0
68,68,3.8331669999752194,83.109375,0.0,2.8585410000523552,83.109375,0.0,2.227749999961816,83.109375,0.0
70,70,3.472375000012107,83.125,0.0,2.8636659999610856,83.96875,0.0,2.2458750000223517,83.96875,0.0
71,71,3.415292000048794,83.96875,0.0,2.9003750000847504,83.984375,0.0,2.5957919999491423,83.984375,0.0
72,72,3.468542000046,83.984375,0.0,2.8662500000791624,83.984375,0.0,2.2730410000076517,83.984375,0.0
73,73,3.446750000002794,84.0,0.0,2.8239169999724254,84.0,0.0,2.103125000023283,84.0,0.0
74,74,3.493250000057742,84.015625,0.0,2.9482500000158325,84.03125,0.0,2.193250000011176,84.03125,0.0
75,75,3.4643340000184253,84.484375,0.0,2.7947079999139532,84.484375,0.0,2.455582999973558,84.484375,0.0
76,76,3.469457999919541,84.5,0.0,2.8410420001018792,84.5,0.0,1.7967910000588745,84.5,0.0
77,77,3.4457920000422746,84.5,0.0,2.8967919999267906,84.515625,0.0,2.5611250000074506,84.515625,0.0
79,79,3.571250000037253,84.578125,0.0,3.15949999995064,85.21875,0.0,2.577832999988459,85.21875,0.0
81,81,3.6271249999990687,87.640625,0.0,3.0232079999987036,87.640625,0.0,1.6238750000484288,87.640625,0.0
82,82,3.5465839999960735,87.640625,0.0,3.034125000005588,87.65625,0.0,2.067583000054583,87.65625,0.0
83,83,3.4894169999752194,87.65625,0.0,3.009040999924764,87.65625,0.0,2.2375830000964925,87.65625,0.0
84,84,3.7552079999586567,88.28125,0.0,2.930999999982305,88.28125,0.0,2.7300419999519363,88.28125,0.0
85,85,3.4075420000590384,88.296875,0.0,2.9616249999962747,88.296875,0.0,2.02370800008066,88.296875,0.0
86,86,3.4886669999687,88.3125,0.0,2.961832999950275,88.3125,0.0,2.286333999945782,88.3125,0.0
87,87,3.4106659999815747,88.3125,0.0,2.9709590000566095,88.3125,0.0,2.1189160000067204,88.3125,0.0
88,88,3.4049169999780133,88.34375,0.0,2.8783750000875443,88.9375,0.0,2.8695000000298023,88.9375,0.0
89,89,3.5263750000158325,88.953125,0.0,2.9388330000219867,88.953125,0.0,2.3031660000560805,88.953125,0.0
90,90,3.4052089999895543,88.953125,0.0,2.97641600004863,88.96875,0.0,2.823041999945417,88.96875,0.0
91,91,3.4544580000219867,88.96875,0.0,2.9955840000184253,88.96875,0.0,2.4047499999869615,88.96875,0.0
92,92,3.5018749999580905,88.984375,0.0,2.9258329999865964,88.984375,0.0,2.2585419999668375,88.984375,0.0
93,93,3.4802500000223517,89.453125,0.0,2.8416670000879094,89.453125,0.0,2.2516250000335276,89.453125,0.0
94,94,3.422082999954,89.46875,0.0,2.9362500000279397,89.46875,0.0,2.336750000016764,89.46875,0.0
95,95,3.43645799998194,89.46875,0.0,2.9762079999782145,89.484375,0.0,2.8274589999346063,89.484375,0.0
96,96,3.428834000020288,89.484375,0.0,2.933666999917478,89.484375,0.0,1.8566250000149012,89.484375,0.0
97,97,3.372667000046931,89.546875,0.0,2.926708999904804,89.984375,0.0,2.6934589999727905,89.984375,0.0
