,Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
30,30,581992.1999999881,582037.5,45.30000001192093,582206.1999999881,582315.2999999523,109.0999999642372,154.39999997615814
31,31,582315.3999999762,582362.1999999881,46.80000001192093,582473.8999999762,582585.0999999642,111.19999998807909,158.0
33,33,582906.0999999642,582946.8999999762,40.80000001192093,583045.5,583150.0999999642,104.5999999642372,145.39999997615814
34,34,583150.1999999881,583193.5,43.30000001192093,583302.0999999642,583413.5999999642,111.5,154.80000001192093
35,35,583413.6999999881,583461.6999999881,48.0,583579.3999999762,583686.0999999642,106.69999998807909,154.69999998807907
37,37,584160.5,584202.1999999881,41.69999998807907,584322.6999999881,584436.8999999762,114.19999998807909,155.89999997615814
38,38,584437.0,584479.6999999881,42.69999998807907,584593.6999999881,584701.6999999881,108.0,150.69999998807907
39,39,584701.7999999523,584746.0999999642,44.30000001192093,584854.3999999762,584960.3999999762,106.0,150.30000001192093
40,40,584960.5999999642,585006.1999999881,45.60000002384186,585117.5,585226.0,108.5,154.10000002384186
41,41,585226.0999999642,585275.1999999881,49.10000002384186,585418.3999999762,585534.3999999762,116.0,165.10000002384186
42,42,585534.5,585575.8999999762,41.39999997615814,585676.0,585779.2999999523,103.29999995231628,144.69999992847443
43,43,585779.2999999523,585821.5,42.20000004768371,585981.2999999523,586082.3999999762,101.10000002384186,143.30000007152557
44,44,586082.5,586129.7999999523,47.29999995231629,586231.5999999642,586351.1999999881,119.60000002384186,166.89999997615814
45,45,586351.1999999881,586395.7999999523,44.59999996423721,586507.3999999762,586614.0999999642,106.69999998807909,151.29999995231628
46,46,586614.1999999881,586662.5999999642,48.39999997615814,586772.0,586877.0999999642,105.0999999642372,153.49999994039536
47,47,586877.0999999642,586922.0999999642,45.0,587051.2999999523,587174.0,122.70000004768372,167.70000004768372
48,48,587174.0999999642,587223.3999999762,49.30000001192093,587351.3999999762,587466.3999999762,115.0,164.30000001192093
50,50,587775.8999999762,587816.8999999762,41.0,587920.0,588024.0999999642,104.0999999642372,145.0999999642372
52,52,588349.1999999881,588396.5,47.30000001192093,588505.8999999762,588612.0999999642,106.19999998807909,153.5
53,53,588612.1999999881,588655.0,42.80000001192093,588761.8999999762,588879.0999999642,117.19999998807909,160.0
54,54,588879.1999999881,588921.3999999762,42.19999998807907,589064.2999999523,589179.2999999523,115.0,157.19999998807907
55,55,589179.3999999762,589223.0,43.60000002384186,589333.5999999642,589440.5,106.9000000357628,150.50000005960464
56,56,589440.6999999881,589482.0999999642,41.39999997615814,589644.0999999642,589749.0,104.9000000357628,146.30000001192093
57,57,589749.1999999881,589797.3999999762,48.19999998807907,589913.0999999642,590026.7999999523,113.69999998807909,161.89999997615814
58,58,590026.8999999762,590071.5,44.60000002384186,590198.0999999642,590310.6999999881,112.60000002384186,157.20000004768372
59,59,590310.7999999523,590361.6999999881,50.90000003576279,590466.5999999642,590579.8999999762,113.30000001192091,164.20000004768372
60,60,590580.0,590622.2999999523,42.29999995231629,590730.5999999642,590837.3999999762,106.80000001192091,149.0999999642372
63,63,591488.1999999881,591531.1999999881,43.0,591632.1999999881,591738.8999999762,106.69999998807909,149.69999998807907
64,64,591739.0,591782.2999999523,43.29999995231629,591888.0999999642,592001.5,113.4000000357628,156.69999998807907
65,65,592001.5999999642,592043.7999999523,42.19999998807907,592153.6999999881,592274.3999999762,120.69999998807909,162.89999997615814
66,66,592274.5,592320.7999999523,46.29999995231629,592425.3999999762,592532.3999999762,107.0,153.29999995231628
67,67,592532.5999999642,592574.8999999762,42.30000001192093,592682.5999999642,592790.0999999642,107.5,149.80000001192093
68,68,592790.0999999642,592833.0999999642,43.0,592947.0999999642,593056.8999999762,109.80000001192091,152.80000001192093
69,69,593057.0,593099.6999999881,42.69999998807907,593258.0999999642,593365.5999999642,107.5,150.19999998807907
70,70,593365.7999999523,593406.5,40.70000004768371,593508.5999999642,593616.5999999642,108.0,148.70000004768372
71,71,593616.6999999881,593659.6999999881,43.0,593763.3999999762,593871.2999999523,107.89999997615814,150.89999997615814
72,72,593871.5,593915.8999999762,44.39999997615814,594026.0,594146.0,120.0,164.39999997615814
74,74,594477.3999999762,594521.8999999762,44.5,594623.0999999642,594726.5999999642,103.5,148.0
76,76,595039.7999999523,595083.0,43.20000004768371,595186.0,595299.0999999642,113.0999999642372,156.30000001192093
77,77,595299.2999999523,595348.8999999762,49.60000002384186,595454.7999999523,595559.8999999762,105.10000002384186,154.70000004768372
78,78,595560.0,595602.5,42.5,595712.8999999762,595820.6999999881,107.80000001192091,150.30000001192093
79,79,595820.8999999762,595862.6999999881,41.80000001192093,595973.7999999523,596090.2999999523,116.5,158.30000001192093
80,80,596090.3999999762,596131.2999999523,40.89999997615814,596247.1999999881,596364.8999999762,117.69999998807909,158.5999999642372
