,Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
44,44,951843.5,952369.0,525.5,952371.3999999762,955912.5,3541.100000023842,4066.600000023842
45,45,955912.5,956482.7999999524,570.2999999523163,956486.2999999524,960020.199999988,3533.900000035763,4104.199999988079
46,46,960020.199999988,960533.699999988,513.5,960535.699999988,964597.199999988,4061.5,4575.0
47,47,964597.199999988,965118.5999999642,521.3999999761581,965122.0999999642,968704.0999999642,3582.0,4103.399999976158
48,48,968704.0999999642,969320.0999999642,616.0,969321.5999999642,973372.0,4050.400000035763,4666.400000035763
49,49,973372.0999999642,973890.2999999524,518.1999999880791,973896.699999988,978074.199999988,4177.5,4695.699999988079
50,50,978074.199999988,978622.3999999762,548.1999999880791,978626.0,982873.0,4247.0,4795.199999988079
51,51,982873.0,983396.199999988,523.1999999880791,983400.5999999642,987421.8999999762,4021.300000011921,4544.5
52,52,987421.8999999762,987928.0999999642,506.199999988079,987929.7999999524,991949.0,4019.200000047684,4525.400000035763
53,53,991949.0,992468.2999999524,519.2999999523163,992471.8999999762,996060.699999988,3588.800000011921,4108.099999964237
54,54,996060.699999988,996658.8999999762,598.1999999880791,996661.8999999762,1000403.7999999524,3741.899999976158,4340.099999964237
55,55,1000403.7999999524,1000921.3999999762,517.6000000238419,1000925.199999988,1005549.0,4623.800000011921,5141.400000035763
56,56,1005549.0,1006081.0999999642,532.0999999642372,1006084.699999988,1010026.0,3941.300000011921,4473.399999976158
57,57,1010026.0,1010549.0999999642,523.0999999642372,1010552.699999988,1014988.5999999642,4435.899999976158,4958.999999940395
58,58,1014988.5999999642,1015522.0999999642,533.5,1015525.7999999524,1020416.2999999524,4890.5,5424.0
60,60,1026556.199999988,1027175.5,619.3000000119209,1027178.8999999762,1031269.8999999762,4091.0,4710.300000011921
61,61,1031269.8999999762,1031892.5,622.6000000238419,1031896.699999988,1035962.0,4065.300000011921,4687.900000035763
62,62,1035962.0,1036597.199999988,635.1999999880791,1036600.7999999524,1040618.5999999642,4017.800000011921,4653.0
63,63,1040618.5999999642,1041128.8999999762,510.300000011921,1041132.0999999642,1045110.199999988,3978.100000023842,4488.400000035763
64,64,1045110.199999988,1045622.699999988,512.5,1045624.0,1050442.199999988,4818.199999988079,5330.699999988079
65,65,1050442.199999988,1050961.0,518.8000000119209,1050963.5999999642,1055391.2999999523,4427.699999988079,4946.5
66,66,1055391.2999999523,1055914.3999999762,523.1000000238419,1055918.3999999762,1060286.5,4368.100000023842,4891.200000047684
67,67,1060286.5,1060814.8999999762,528.3999999761581,1060818.5999999642,1065363.3999999762,4544.800000011921,5073.199999988079
68,68,1065363.3999999762,1065880.5,517.1000000238419,1065886.0999999642,1070137.0999999642,4251.0,4768.100000023842
69,69,1070137.199999988,1070649.2999999523,512.0999999642372,1070651.8999999762,1075303.5999999642,4651.699999988079,5163.799999952316
70,70,1075303.5999999642,1075825.5999999642,522.0,1075831.2999999523,1080268.0,4436.700000047684,4958.700000047684
71,71,1080268.0,1080784.7999999523,516.7999999523163,1080787.5,1085304.699999988,4517.199999988079,5033.999999940395
72,72,1085304.699999988,1085834.0999999642,529.3999999761581,1085840.3999999762,1090402.199999988,4561.800000011921,5091.199999988079
73,73,1090402.199999988,1090938.199999988,536.0,1090941.8999999762,1095631.699999988,4689.800000011921,5225.800000011921
74,74,1095631.699999988,1096198.0,566.3000000119209,1096201.5,1100022.5999999642,3821.099999964237,4387.399999976158
75,75,1100022.5999999642,1100541.5,518.9000000357628,1100544.5,1104990.5,4446.0,4964.900000035763
76,76,1104990.5,1105545.5,555.0,1105549.5999999642,1110485.8999999762,4936.300000011921,5491.300000011921
77,77,1110485.8999999762,1110999.5999999642,513.6999999880791,1111004.3999999762,1115181.699999988,4177.300000011921,4691.0
78,78,1115181.699999988,1115697.2999999523,515.5999999642372,1115699.3999999762,1120351.5999999642,4652.199999988079,5167.799999952316
79,79,1120351.5999999642,1120867.2999999523,515.6999999880791,1120868.7999999523,1125818.199999988,4949.400000035763,5465.100000023842
80,80,1125818.199999988,1126396.5999999642,578.3999999761581,1126397.7999999523,1130696.699999988,4298.900000035763,4877.300000011921
81,81,1130696.7999999523,1131219.0,522.2000000476837,1131221.8999999762,1135153.0,3931.100000023842,4453.300000071526
82,82,1135153.0,1135656.2999999523,503.2999999523163,1135658.8999999762,1140497.5,4838.600000023842,5341.899999976158
83,83,1140497.5,1141011.199999988,513.6999999880791,1141013.699999988,1146031.5,5017.800000011921,5531.5
84,84,1146031.5,1146674.7999999523,643.2999999523163,1146677.8999999762,1150968.7999999523,4290.899999976158,4934.199999928474
85,85,1150968.7999999523,1151593.5,624.7000000476837,1151598.0,1155857.0999999642,4259.099999964237,4883.800000011921
86,86,1155857.0999999642,1156506.7999999523,649.6999999880791,1156510.5,1160786.199999988,4275.699999988079,4925.399999976158
87,87,1160786.199999988,1161420.3999999762,634.1999999880791,1161422.5999999642,1165615.0999999642,4192.5,4826.699999988079
88,88,1165615.0999999642,1166236.0,620.9000000357628,1166239.2999999523,1170504.0,4264.700000047684,4885.6000000834465
89,89,1170504.0,1171010.699999988,506.699999988079,1171013.2999999523,1175825.3999999762,4812.100000023842,5318.800000011921
90,90,1175825.3999999762,1176343.0999999642,517.6999999880791,1176346.0999999642,1180873.699999988,4527.600000023842,5045.300000011921
91,91,1180873.699999988,1181492.7999999523,619.0999999642372,1181497.0,1185890.3999999762,4393.399999976158,5012.499999940395
92,92,1185890.3999999762,1186516.0999999642,625.6999999880791,1186520.699999988,1190683.0,4162.300000011921,4788.0
