,Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
64,64,20790.900000035763,20874.0,83.09999996423721,20946.60000002384,21030.30000001192,83.69999998807907,166.79999995231628
68,68,21945.900000035763,22030.80000001192,84.89999997615814,22104.400000035763,22189.0,84.59999996423721,169.49999994039536
70,70,22443.5,22528.200000047684,84.70000004768372,22605.30000001192,22689.60000002384,84.30000001192093,169.00000005960464
72,72,22973.10000002384,23056.0,82.89999997615814,23128.30000001192,23213.200000047684,84.90000003576279,167.80000001192093
73,73,23213.200000047684,23297.60000002384,84.39999997615814,23372.5,23457.700000047684,85.20000004768372,169.60000002384186
74,74,23457.700000047684,23542.900000035763,85.19999998807907,23615.10000002384,23698.5,83.39999997615814,168.5999999642372
75,75,23698.700000047684,23781.900000035763,83.19999998807907,23853.400000035763,23936.80000001192,83.39999997615814,166.5999999642372
76,76,23936.900000035763,24020.200000047684,83.30000001192093,24093.200000047684,24176.0,82.79999995231628,166.0999999642372
78,78,24471.900000035763,24555.400000035763,83.5,24630.30000001192,24715.200000047684,84.90000003576279,168.4000000357628
80,80,24981.10000002384,25064.900000035763,83.80000001192093,25138.30000001192,25223.200000047684,84.90000003576279,168.70000004768372
81,81,25223.200000047684,25307.900000035763,84.69999998807907,25379.80000001192,25462.60000002384,82.80000001192093,167.5
83,83,25744.0,25827.0,83.0,25900.700000047684,25985.30000001192,84.59999996423721,167.5999999642372
84,84,25985.400000035763,26067.700000047684,82.30000001192093,26140.400000035763,26223.400000035763,83.0,165.30000001192093
85,85,26223.400000035763,26305.10000002384,81.69999998807907,26379.5,26463.10000002384,83.60000002384186,165.30000001192093
86,86,26463.10000002384,26546.200000047684,83.10000002384186,26619.10000002384,26702.700000047684,83.60000002384186,166.70000004768372
87,87,26702.900000035763,26785.900000035763,83.0,26904.200000047684,26988.30000001192,84.09999996423721,167.0999999642372
88,88,26988.400000035763,27071.80000001192,83.39999997615814,27145.200000047684,27229.30000001192,84.09999996423721,167.49999994039536
89,89,27229.30000001192,27313.30000001192,84.0,27386.200000047684,27469.900000035763,83.69999998807907,167.69999998807907
90,90,27470.0,27552.400000035763,82.40000003576279,27627.200000047684,27711.80000001192,84.59999996423721,167.0
91,91,27711.80000001192,27795.10000002384,83.30000001192093,27868.5,27951.900000035763,83.40000003576279,166.70000004768372
93,93,28234.200000047684,28316.60000002384,82.39999997615814,28391.400000035763,28475.900000035763,84.5,166.89999997615814
94,94,28476.0,28560.5,84.5,28633.5,28718.0,84.5,169.0
95,95,28718.10000002384,28801.0,82.89999997615814,28873.80000001192,28957.80000001192,84.0,166.89999997615814
96,96,28957.80000001192,29042.0,84.19999998807907,29114.80000001192,29198.5,83.69999998807907,167.89999997615814
