,Iteration,Delegation Time Taken,Delegation Memory Usage,Delegation CPU Usage,Verification Time Taken,Verification Memory Usage,Verification CPU Usage,Retrieval Time Taken,Retrieval Memory Usage,Retrieval CPU Usage
61,61,3.3302499999990687,87.875,0.0,2.872458000027109,87.9375,0.0,1.779333000013139,87.9375,0.0
62,62,3.3130829999572597,87.9375,0.0,2.837125000020023,87.9375,0.0,2.480666999996174,87.9375,0.0
63,63,3.3125,87.9375,0.0,2.724541999981738,87.9375,0.0,2.4049579999991693,87.9375,0.0
64,64,3.404500000004191,87.953125,0.0,2.6816669999971054,87.953125,0.0,2.4892080000136048,87.953125,0.0
65,65,3.32179100002395,87.953125,0.0,2.7888749999692664,87.953125,0.0,2.121291999996174,87.953125,0.0
66,66,3.32974999997532,87.953125,0.0,2.906749999965541,87.96875,0.0,2.7485840000445023,87.96875,0.0
67,67,3.3099999999976717,87.96875,0.0,2.8622079999768175,87.96875,0.0,2.111832999973558,87.96875,0.0
68,68,3.274582999991253,87.96875,0.0,2.7674170000245795,87.96875,0.0,2.4189580000238493,87.96875,0.0
69,69,3.3493749999906868,87.96875,0.0,2.7131250000093132,87.96875,0.0,2.184499999973923,87.96875,0.0
70,70,3.318291999981738,87.96875,1.0,2.800416999962181,87.96875,0.0,2.262457999982871,87.96875,0.0
71,71,3.3357919999980368,87.96875,0.0,2.859000000054948,87.96875,0.0,2.178040999977384,87.96875,0.0
72,72,3.263833999983035,87.96875,0.0,2.7317500000353903,87.96875,0.0,2.293333000037819,87.96875,0.0
73,73,3.3612909999792464,87.96875,0.0,2.7322909999638796,87.96875,0.0,2.5787079999572597,87.96875,0.0
74,74,3.4806250000256114,87.96875,0.0,2.7650420000427403,87.96875,0.0,2.9409580000210553,87.96875,0.0
75,75,3.2712910000118427,87.96875,0.0,2.867792000004556,87.96875,0.0,2.153541999985464,87.96875,0.0
76,76,3.368791999993846,87.96875,0.0,2.931417000014335,87.96875,0.0,2.019665999978315,87.96875,0.0
77,77,3.3730840000207536,87.96875,0.0,2.81150000001071,87.96875,0.0,1.676042000006419,87.96875,0.0
78,78,3.640708999999333,87.96875,0.0,2.9168749999953434,87.96875,0.0,1.6628340000170283,87.96875,0.0
79,79,3.369042000034824,87.96875,0.0,2.7423750000307336,87.96875,0.0,1.8669160000281408,87.96875,0.0
80,80,3.366457999974955,88.0,0.0,2.8334589999867603,88.0,0.0,2.2726670000120066,88.0,0.0
82,82,3.422290999966208,88.0,0.0,2.7311660000123084,88.0,0.0,2.6088330000056885,88.0,0.0
83,83,3.3309579999768175,88.0,0.0,2.8685000000405125,88.0,0.0,2.120541999989655,88.0,0.0
84,84,3.3962499999906868,88.15625,0.0,3.0018329999875277,88.15625,0.0,1.8761250000097789,88.15625,0.0
85,85,3.368583999981638,88.171875,0.0,2.8817079999716952,88.171875,0.0,2.342084000003524,88.171875,0.0
86,86,3.524165999959223,88.1875,0.0,2.722124999971129,88.1875,0.0,2.5143329999991693,88.1875,0.0
87,87,3.3069590000086464,88.1875,0.0,2.889708000002429,88.25,0.0,2.1615839999867603,88.25,0.0
89,89,3.861291999986861,92.21875,0.0,3.061374999990221,93.3125,0.0,2.7749579999945126,93.3125,0.0
90,90,3.366749999986496,93.3125,0.0,2.7932090000249445,93.3125,0.0,2.5161250000237487,93.3125,0.0
