,Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
1,1,89105.0,89261.19999998808,156.19999998807907,89264.0,89589.79999995232,325.7999999523163,481.99999994039536
2,2,89590.0,89737.0,147.0,89739.5,90061.0,321.5,468.5
4,4,90561.19999998808,90721.09999996424,159.89999997615814,90724.0,91049.89999997616,325.89999997615814,485.7999999523163
5,5,91050.09999996424,91208.39999997616,158.30000001192093,91211.09999996424,91531.29999995232,320.19999998807907,478.5
6,6,91531.5,91691.59999996424,160.0999999642372,91693.89999997616,92030.5,336.60000002384186,496.699999988079
7,7,92030.69999998808,92188.39999997616,157.69999998807907,92191.29999995232,92503.89999997616,312.60000002384186,470.300000011921
8,8,92504.0,92662.19999998808,158.19999998807907,92663.59999996424,92985.69999998808,322.10000002384186,480.300000011921
10,10,93466.39999997616,93621.59999996424,155.19999998807907,93623.89999997616,93942.0,318.10000002384186,473.300000011921
11,11,93942.0,94099.29999995232,157.29999995231628,94101.29999995232,94415.09999996424,313.80000001192093,471.0999999642372
12,12,94415.19999998808,94569.69999998808,154.5,94572.39999997616,94887.39999997616,315.0,469.5
13,13,94887.5,95036.79999995232,149.29999995231628,95039.59999996424,95359.89999997616,320.30000001192093,469.5999999642372
14,14,95360.09999996424,95526.09999996424,166.0,95529.19999998808,95840.69999998808,311.5,477.5
15,15,95840.89999997616,95994.79999995232,153.89999997615814,95997.59999996424,96299.39999997616,301.80000001192093,455.699999988079
16,16,96299.59999996424,96452.19999998808,152.60000002384186,96455.09999996424,96767.39999997616,312.30000001192093,464.9000000357628
17,17,96767.69999998808,96920.19999998808,152.5,96923.29999995232,97246.79999995232,323.5,476.0
18,18,97247.0,97400.19999998808,153.19999998807907,97402.69999998808,97706.69999998808,304.0,457.199999988079
19,19,97706.89999997616,97865.19999998808,158.30000001192093,97870.19999998808,98166.19999998808,296.0,454.300000011921
20,20,98166.29999995232,98322.0,155.70000004768372,98323.79999995232,98641.79999995232,318.0,473.7000000476837
21,21,98641.89999997616,98794.89999997616,153.0,98797.69999998808,99124.39999997616,326.69999998807907,479.699999988079
22,22,99124.59999996424,99273.19999998808,148.60000002384186,99275.5,99588.59999996424,313.0999999642372,461.699999988079
